name,new_label,sreg,location,area_name,axon_location,dendrite_location,ndb_id,nif_id,scigraph,connectivity
Dentate gyrus granule cell,,Dentate gyrus,FMA:61922,dentate gyrus of hippocampal formation,FMA:74045,,257,NIFCELL:nifext_153,Dentate gyrus granule cell,Septal principal neuron;Nicotinic;Soma
Hippocampus CA1 pyramidal cell,,Hippocampus CA1,FMA:74042,CA1 field of hippocampus,"FMA:74414,UBERON:0002895","FMA:277850,FMA:83677",258,NIFCELL:sao830368389,Hippocampus CA1 pyramidal cell,"Hippocampus CA1 interneuron oriens alveus;Gaba;Dendrite , Hippocampus CA1 interneuron oriens alveus;GabaA,Dendrite , Hippocampus CA1 interneuron oriens alveus;GabaB;Dendrite , NIFCELL:sao383526650;NMDA,Dendrite , NIFCELL:sao383526650;AMPA,Dendrite , NIFCELL:sao383526650;Glutamate;Dendrite , NIFCELL:nlx_cell_091205;Gaba;Soma ,  Hippocampus CA1 interneuron oriens alveus;GabaB;Soma ,  Hippocampus CA1 interneuron oriens alveus;GabaA;Soma ,  Hippocampus CA1 interneuron oriens alveus;GabaB;Axon ,  Hippocampus CA1 interneuron oriens alveus;GabaA;Axon"
Hippocampus CA1 basket cell,,Hippocampus CA1,FMA:74042,CA1 field of hippocampus,,,190461,NIFCELL:nlx_cell_091205,Hippocampus CA1 basket cell,
Hippocampus CA1 interneuron oriens alveus,,Hippocampus CA1,FMA:74042,CA1 field of hippocampus,,,35373,,,NIFCELL:sao830368389;AMPA;Dendrite
Hippocampus CA3 pyramidal cell,,Hippocampus CA3,FMA:74045,CA3 field of hippocampus,"FMA:277856,FMA:277866,FMA:277854","FMA:277860,FMA:277866,FMA:277854",259,NIFCELL:sao383526650,Hippocampus CA3 pyramidal cell,"NIFCELL:nlx_cell_091213;Gaba;Dendrite , NIFCELL:nlx_cell_091213;GabaA;Dendrite , NIFCELL:nlx_cell_091213;GabaB;Dendrite , NIFCELL:nifext_153;Glutamate;Dendrite , NIFCELL:nlx_cell_091213;Gaba;Soma , NIFCELL:nlx_cell_091213;GabaA;Soma , NIFCELL:nlx_cell_091213;GabaB;Soma , Septal principal neuron;Nicotinic;Soma"
Hippocampus CA3 basket cell,,Hippocampus CA3,FMA:74045,CA3 field of hippocampus,"FMA:277872,,FMA:277878","FMA:277860,FMA:277866,FMA:277854,UBERON:0014560,FMA:277878",154093,NIFCELL:nlx_cell_091213,Hippocampus CA3 basket cell,
Neostriatum spiny direct pathway neuron,,Neostriatum,UBERON:0005383,caudate-putamen,"FMA:61840,FMA:61839,FMA:67947",,260,NIFCELL:nlx_149135,,"NIFCELL:nifext_50;Glutamate;Dendrite , NIFCELL:nifext_145;D1;Dendrite"
Neostriatum interneuron cholinergic cell,Neostriatum cholinergic cell,Neostriatum,UBERON:0005383,caudate-putamen,UBERON:0005383,,7021,NIFCELL:sao1866881837,Neostriatum cholinergic cell,
Neostriatum spiny indirect pathway neuron,,Neostriatum,UBERON:0005383,caudate-putamen,"FMA:61840,FMA:61839,FMA:67947",,153360,NIFCELL:nlx_149136,,
Neostriatum interneuron gaba/parvalbumin interneuron,,Neostriatum,UBERON:0005383,caudate-putamen,,,182691,NIFCELL:nifext_143,Neostriatum parvalbumin interneuron,
Neostriatum interneuron SOM/NOS interneuron,Neostriatum SOM/NOS cell,Neostriatum,UBERON:0005383,caudate-putamen,,,182709,NIFCELL:nifext_144,Neostriatum SOM/NOS cell,
Substantia nigra pars compacta dopaminergic cell,,Substantia Nigra,FMA:67947,substantia nigra,,,261,NIFCELL:nifext_145,Substantia nigra pars compacta dopaminergic cell,
Substantia nigra pars reticulata principal cell,,Substantia Nigra,FMA:67947,substantia nigra,,,182544,NIFCELL:nifext_148,Substantia nigra pars reticulata principal cell,
Globus pallidus principal cell,,Globus Pallidus,FMA:61835,globus pallidus,,,182591,NIFCELL:nifext_149,Globus pallidus principal cell,
Subthalamic nucleus principal cell,,Subthalamic Nucleus,FMA:62035,subthalamic nucleus,,,182735,NIFCELL:nlx_149137,,
Thalamus geniculate nucleus (lateral) principal neuron,,Thalamus,UBERON:0001897,dorsal plus ventral thalamus,UBERON:0000411,,262,NIFCELL:nlx_cell_20081203,Thalamus relay cell,
Thalamus reticular nucleus cell,,Thalamus,UBERON:0001897,dorsal plus ventral thalamus,,,263,NIFCELL:nifext_45,Thalamic reticular nucleus cell,
Retina bipolar cell,,Retina,FMA:58301,retina,UBERON:0001795,,7020,NIFCELL:nifext_31,Retina bipolar cell,
Retina ganglion cell,,Retina,FMA:58301,retina,"FMA:62403,FMA:72417,FMA:67883,FMA:62209",,270,NIFCELL:nifext_17,Retina ganglion cell,
Retina photoreceptor cone cell,,Retina,FMA:58301,retina,UBERON:0001790,,1966,NIFCELL:sao1103104164,Retinal Cone Cell,
Retina photoreceptor rod cell,,Retina,FMA:58301,retina,UBERON:0001790,,153361,NIFCELL:nlx_cell_100212,Retina photoreceptor rod,
Septal principal neuron,,Septum,FMA:61842,septum of telencephalon,,,190477,,,
Neocortex layer 5-6 pyramidal cell,,neocortex,FMA:62429,neocortex,,,265,NIFCELL:nifext_50,Neocortex pyramidal cell layer 5-6,
Neocortex layer 2-3 pyramidal cell,,neocortex,FMA:62429,neocortex,"FMA:77804,FMA:77810","FMA:77804,FMA:77810,FMA:83900",266,NIFCELL:nifext_49,Neocortex pyramidal cell layer 2-3,
Neocortex interneuron basket cell,,neocortex,FMA:62429,neocortex,,,7387,NIFCELL:nifext_56,Neocortex basket cell,
Olfactory receptor neuron,Olfactory epithelium (main) sensory cell,Olfactory Epithelium,FMA:64803,olfactory epithelium,UBERON:0005387,,268,NIFCELL:nifext_116,Olfactory epithelium (main) sensory cell,
Olfactory bulb main mitral cell,Olfactory bulb (main) mitral cell,Olfactory Bulb,FMA:77624,olfactory bulb,FMA:276600,,267,NIFCELL:nifext_120,Olfactory bulb (main) mitral cell,"NIFCELL:nlx_cell_091202;GabaB;Dendrite , NIFCELL:nlx_cell_091202;GabaA;Dendrite , NIFCELL:nifext_116;AMPA;Dendrite , NIFCELL:nifext_116;NMDA;Dendrite , NIFCELL:nlx_cell_091202;Dopaminergic Receptor;Dendrite , NIFCELL:nifext_123;GabaA;Dendrite , NIFCELL:nifext_123;GabaB;Dendrite , NIFCELL:nifext_123;GabaA;Soma , NIFCELL:nifext_123;GabaB;Soma"
Olfactory bulb main interneuron granule MC cell,Olfactory bulb (main) granule cell,Olfactory Bulb,FMA:77624,olfactory bulb,,"UBERON:0005376,UBERON:0005378",3979,NIFCELL:nifext_123,Olfactory bulb (main) granule cell,"NIFCELL:nifext_120;NMDA;Dendrite , NIFCELL:nifext_120;AMPA;Dendrite , Olfactory cortex anterior pyramidal neuron;NMDA;Soma"
Olfactory bulb main tufted middle cell,Olfactory bulb main tufted cell,Olfactory Bulb,FMA:77624,olfactory bulb,FMA:276600,,153282,NIFCELL:nifext_121,Olfactory bulb main tufted cell,"NIFCELL:nlx_cell_091202;GabaA;Dendrite , NIFCELL:nlx_cell_091202;GabaB;Dendrite , NIFCELL:nifext_116;AMPA;Dendrite , NIFCELL:nifext_116;NMDA;Dendrite , NIFCELL:nlx_cell_091202;Dopaminergic Receptor;Dendrite , NIFCELL:nifext_123;GabaB;Dendrite , NIFCELL:nifext_123;GabaA;Dendrite , NIFCELL:nifext_123;GabaB;Soma , Olfactory Bulb main interneuron granule TC cell;GabaA;Soma"
Olfactory bulb main interneuron granule TC cell,Olfactory bulb (main) granule cell,Olfactory Bulb,FMA:77624,olfactory bulb,,"UBERON:0005376,UBERON:0005378",153283,NIFCELL:nifext_123,Olfactory bulb (main) granule cell,"NIFCELL:nifext_121;NMDA;Dendrite , NIFCELL:nifext_121;AMPA;Dendrite , Olfactory cortex anterior pyramidal neuron;NMDA;Soma"
Olfactory bulb main interneuron periglomerular cell,Olfactory bulb main periglomerular cell,Olfactory Bulb,FMA:77624,olfactory bulb,,,3978,NIFCELL:nlx_cell_091202,Olfactory bulb main periglomerular cell,"NIFCELL:nifext_116;NMDA;Dendrite , NIFCELL:nifext_121;NMDA;Dendrite , NIFCELL:nifext_120;NMDA;Dendrite , NIFCELL:nifext_116;AMPA;Dendrite , NIFCELL:nifext_121;AMPA;Dendrite , NIFCELL:nifext_120;AMPA;Dendrite , Raphe nuclei principal neuron;Serotonin;Dendrite"
Olfactory cortex anterior pyramidal neuron,,Olfactory Cortex,FMA:276600,olfactory cortex,,,269,,,"NIFCELL:nifext_120;AMPA;Dendrite , NIFCELL:nifext_120;NMDA;Dendrite , NIFCELL:nlx_153867;GabaB;Dendrite , NIFCELL:nlx_153867;GabaA;Dendrite , NIFCELL:nifext_139;GabaA;Dendrite , NIFCELL:nifext_139;GabaB;Dendrite , NIFCELL:nifext_139;GabaA;Soma , NIFCELL:nifext_139;GabaB;Soma"
Olfactory cortex anterior interneuron superficial layer,Olfactory cortex superficial pyramidal cell,Olfactory Cortex,FMA:276600,olfactory cortex,,,6013,NIFCELL:nlx_153867,,
Olfactory cortex anterior interneuron deep layer,Olfactory cortex deep pyramidal cell,Olfactory Cortex,FMA:276600,olfactory cortex,,,6034,NIFCELL:nifext_139,Olfactory cortex pyramidal cell,"Olfactory cortex anterior pyramidal neuron;AMPA;Dendrite , Olfactory cortex anterior pyramidal neuron;NMDA;Dendrite"
Locus ceruleus principal neuron,Locus coeruleus NA neuron,Locus ceruleus,FMA:72478,locus ceruleus,,,190471,NIFCELL:nlx_cell_20090202,Locus coeruleus NA neuron,
Raphe nuclei principal neuron,,Raphe nuclei,FMA:77787,midbrain raphe nuclei,,,190474,,,
Cerebellum purkinje cell,,Cerebellum cortex,FMA:72248,cerebellar cortex,FMA:72249,,271,NIFCELL:sao471801888,Cerebellum Purkinje cell,
Cerebellum interneuron granule cell,Cerebellum granule cell,Cerebellum cortex,FMA:72248,cerebellar cortex,FMA:83897,,7346,NIFCELL:nifext_128,Cerebellum granule cell,
